time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic,ks2_assessment_measure,number_eligible,number_achieving,percent_achieving,progress_eligible,progress_score,average_progress_score
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,Looked after children,"Grammar, punctuation and spelling (test)",7,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,Looked after children,"Grammar, punctuation and spelling (test)",10,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,Looked after children,"Grammar, punctuation and spelling (test)",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Looked after children,"Grammar, punctuation and spelling (test)",7,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Looked after children,"Grammar, punctuation and spelling (test)",9,c,c,.,.,.
201819,Reporting year,National,E92000001,England,,,,,,Looked after children,"Reading, writing and mathematics",3220,1170,36,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Looked after children,"Reading, writing and mathematics",230,110,47,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Looked after children,"Reading, writing and mathematics",680,260,38,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Looked after children,"Reading, writing and mathematics",360,130,35,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Looked after children,"Reading, writing and mathematics",220,70,33,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Looked after children,"Reading, writing and mathematics",480,180,38,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Looked after children,"Reading, writing and mathematics",280,90,31,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Looked after children,"Reading, writing and mathematics",400,130,31,.,.,.
201819,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Looked after children,"Reading, writing and mathematics",240,70,31,.,.,.
201819,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Looked after children,"Reading, writing and mathematics",140,60,43,.,.,.
201819,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Looked after children,"Reading, writing and mathematics",200,80,42,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Looked after children,"Reading, writing and mathematics",40,22,55,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Looked after children,"Reading, writing and mathematics",26,12,46,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Looked after children,"Reading, writing and mathematics",16,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Looked after children,"Reading, writing and mathematics",20,9,45,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Looked after children,"Reading, writing and mathematics",23,13,57,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Looked after children,"Reading, writing and mathematics",12,6,50,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Looked after children,"Reading, writing and mathematics",12,6,50,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Looked after children,"Reading, writing and mathematics",11,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Looked after children,"Reading, writing and mathematics",32,14,44,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Looked after children,"Reading, writing and mathematics",26,12,46,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Looked after children,"Reading, writing and mathematics",15,6,40,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Looked after children,"Reading, writing and mathematics",25,9,36,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Looked after children,"Reading, writing and mathematics",30,10,33,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Looked after children,"Reading, writing and mathematics",11,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Looked after children,"Reading, writing and mathematics",16,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Looked after children,"Reading, writing and mathematics",13,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Looked after children,"Reading, writing and mathematics",44,14,32,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Looked after children,"Reading, writing and mathematics",14,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Looked after children,"Reading, writing and mathematics",12,8,67,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Looked after children,"Reading, writing and mathematics",91,28,31,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Looked after children,"Reading, writing and mathematics",51,22,43,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Looked after children,"Reading, writing and mathematics",71,26,37,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Looked after children,"Reading, writing and mathematics",35,16,46,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Looked after children,"Reading, writing and mathematics",28,15,54,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Looked after children,"Reading, writing and mathematics",30,8,27,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Looked after children,"Reading, writing and mathematics",19,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Looked after children,"Reading, writing and mathematics",22,9,41,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Looked after children,"Reading, writing and mathematics",16,7,44,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Looked after children,"Reading, writing and mathematics",27,15,56,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Looked after children,"Reading, writing and mathematics",22,8,36,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Looked after children,"Reading, writing and mathematics",24,11,46,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Looked after children,"Reading, writing and mathematics",28,7,25,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Looked after children,"Reading, writing and mathematics",38,18,47,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Looked after children,"Reading, writing and mathematics",9,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Looked after children,"Reading, writing and mathematics",42,14,33,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Looked after children,"Reading, writing and mathematics",12,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Looked after children,"Reading, writing and mathematics",20,8,40,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Looked after children,"Reading, writing and mathematics",11,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston upon Hull City of,Looked after children,"Reading, writing and mathematics",39,15,38,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Looked after children,"Reading, writing and mathematics",28,8,29,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Looked after children,"Reading, writing and mathematics",65,25,38,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Looked after children,"Reading, writing and mathematics",25,7,28,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Looked after children,"Reading, writing and mathematics",6,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Looked after children,"Reading, writing and mathematics",13,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Looked after children,"Reading, writing and mathematics",30,12,40,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Looked after children,"Reading, writing and mathematics",23,9,39,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Looked after children,"Reading, writing and mathematics",25,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Looked after children,"Reading, writing and mathematics",10,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Looked after children,"Reading, writing and mathematics",23,11,48,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Looked after children,"Reading, writing and mathematics",25,9,36,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Looked after children,"Reading, writing and mathematics",25,10,40,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Looked after children,"Reading, writing and mathematics",26,9,35,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Looked after children,"Reading, writing and mathematics",40,10,25,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Looked after children,"Reading, writing and mathematics",23,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Looked after children,"Reading, writing and mathematics",33,12,36,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Looked after children,"Reading, writing and mathematics",93,35,38,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Looked after children,"Reading, writing and mathematics",22,8,36,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Looked after children,"Reading, writing and mathematics",35,13,37,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Looked after children,"Reading, writing and mathematics",24,12,50,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Looked after children,"Reading, writing and mathematics",39,17,44,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Looked after children,"Reading, writing and mathematics",12,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Looked after children,"Reading, writing and mathematics",20,9,45,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Looked after children,"Reading, writing and mathematics",51,20,39,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Looked after children,"Reading, writing and mathematics",38,14,37,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Looked after children,"Reading, writing and mathematics",29,8,28,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Looked after children,"Reading, writing and mathematics",29,9,31,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Looked after children,"Reading, writing and mathematics",36,15,42,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Looked after children,"Reading, writing and mathematics",30,10,33,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford borough,Looked after children,"Reading, writing and mathematics",14,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Looked after children,"Reading, writing and mathematics",22,8,36,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Looked after children,"Reading, writing and mathematics",42,13,31,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Looked after children,"Reading, writing and mathematics",43,10,23,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Looked after children,"Reading, writing and mathematics",19,7,37,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Looked after children,"Reading, writing and mathematics",44,14,32,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Looked after children,"Reading, writing and mathematics",19,8,42,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Looked after children,"Reading, writing and mathematics",10,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Looked after children,"Reading, writing and mathematics",31,8,26,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Looked after children,"Reading, writing and mathematics",12,7,58,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Looked after children,"Reading, writing and mathematics",7,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Looked after children,"Reading, writing and mathematics",15,7,47,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,Looked after children,"Reading, writing and mathematics",21,8,38,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Looked after children,"Reading, writing and mathematics",24,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Looked after children,"Reading, writing and mathematics",70,19,27,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Looked after children,"Reading, writing and mathematics",7,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Looked after children,"Reading, writing and mathematics",76,25,33,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Looked after children,"Reading, writing and mathematics",20,10,50,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Looked after children,"Reading, writing and mathematics",12,6,50,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Looked after children,"Reading, writing and mathematics",27,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Looked after children,"Reading, writing and mathematics",20,6,30,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Looked after children,"Reading, writing and mathematics",11,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Looked after children,"Reading, writing and mathematics",28,9,32,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Looked after children,"Reading, writing and mathematics",30,8,27,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Looked after children,"Reading, writing and mathematics",23,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Looked after children,"Reading, writing and mathematics",0,0,.,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Looked after children,"Reading, writing and mathematics",9,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,837,E06000028,Bournemouth,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,Bristol City of,Looked after children,"Reading, writing and mathematics",30,13,43,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Looked after children,"Reading, writing and mathematics",15,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Looked after children,"Reading, writing and mathematics",24,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,835,E10000009,Dorset,Looked after children,"Reading, writing and mathematics",14,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Looked after children,"Reading, writing and mathematics",30,6,20,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Looked after children,"Reading, writing and mathematics",0,0,.,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Looked after children,"Reading, writing and mathematics",19,9,47,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,836,E06000029,Poole,Looked after children,"Reading, writing and mathematics",9,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Looked after children,"Reading, writing and mathematics",27,9,33,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Looked after children,"Reading, writing and mathematics",14,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Looked after children,"Reading, writing and mathematics",18,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Looked after children,"Reading, writing and mathematics",19,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Looked after children,"Reading, writing and mathematics",0,0,.,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Looked after children,"Reading, writing and mathematics",10,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Looked after children,"Reading, writing and mathematics",7,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,Looked after children,"Reading, writing and mathematics",20,6,30,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Looked after children,"Reading, writing and mathematics",10,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Looked after children,"Reading, writing and mathematics",20,9,45,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Looked after children,"Reading, writing and mathematics",14,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,Looked after children,"Reading, writing and mathematics",14,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Looked after children,"Reading, writing and mathematics",21,7,33,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Looked after children,"Reading, writing and mathematics",9,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Looked after children,"Reading, writing and mathematics",22,13,59,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Looked after children,"Reading, writing and mathematics",9,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,Looked after children,"Reading, writing and mathematics",7,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,Looked after children,"Reading, writing and mathematics",12,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,Looked after children,"Reading, writing and mathematics",8,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,Looked after children,"Reading, writing and mathematics",17,9,53,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Looked after children,"Reading, writing and mathematics",14,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Looked after children,"Reading, writing and mathematics",13,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Looked after children,"Reading, writing and mathematics",29,8,28,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,Looked after children,"Reading, writing and mathematics",9,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,Looked after children,"Reading, writing and mathematics",8,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,Looked after children,"Reading, writing and mathematics",7,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,Looked after children,"Reading, writing and mathematics",10,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,Looked after children,"Reading, writing and mathematics",c,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Looked after children,"Reading, writing and mathematics",7,c,c,.,.,.
201819,Reporting year,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Looked after children,"Reading, writing and mathematics",9,c,c,.,.,.
201819,Reporting year,National,E92000001,England,,,,,,Looked after children,Reading (progress),.,.,.,3030,-750.66,-0.2
201819,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Looked after children,Reading (progress),.,.,.,220,220.07,1
201819,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Looked after children,Reading (progress),.,.,.,650,-143.31,-0.2
201819,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Looked after children,Reading (progress),.,.,.,340,-104.66,-0.3
201819,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Looked after children,Reading (progress),.,.,.,200,-21.09,-0.1
201819,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Looked after children,Reading (progress),.,.,.,450,-174.45,-0.4
201819,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Looked after children,Reading (progress),.,.,.,260,-237.44,-0.9
201819,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Looked after children,Reading (progress),.,.,.,390,-320.54,-0.8
201819,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Looked after children,Reading (progress),.,.,.,220,-223.06,-1
201819,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Looked after children,Reading (progress),.,.,.,130,16.64,0.1
201819,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Looked after children,Reading (progress),.,.,.,180,237.18,1.3
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Looked after children,Reading (progress),.,.,.,10,-23.47,-2.3
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Looked after children,Reading (progress),.,.,.,40,1.1,0
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Looked after children,Reading (progress),.,.,.,22,42.94,2
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Looked after children,Reading (progress),.,.,.,16,-30.22,-1.9
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Looked after children,Reading (progress),.,.,.,20,90.07,4.5
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Looked after children,Reading (progress),.,.,.,19,37.57,2
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Looked after children,Reading (progress),.,.,.,c,c,c
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Looked after children,Reading (progress),.,.,.,12,-18.74,-1.6
201819,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Looked after children,Reading (progress),.,.,.,12,-7.99,-0.7
